partNumber,name,category,subCategory,price,stock,manufacturer,seller,description,warranty,delivery eta,highlights,compatible models,supports service,image
SMSG-RF-001,Inverter Compressor Module,Refrigerator,Double Door,6499,15,Samsung,Fixxer OEM Hub,"High-efficiency digital inverter compressor for premium Samsung refrigerators. Energy-saving design with variable speed technology.",12 months OEM warranty,2-3 business days,Factory-sealed copper winding | Low-noise digital inverter | Energy class A++ | 10-year motor life,RT34M5538S8 | RT39M5538S8 | RT42M553ES8,yes,https://images.unsplash.com/photo-1581092160562-40aa08e78837?q=80&w=800
SMSG-RF-002,Thermostat Assembly,Refrigerator,Single Door,1200,25,Samsung,Fixxer OEM Hub,"Precision temperature control thermostat with frost-free mechanism.",6 months replacement,Same day dispatch,Auto-defrost compatible | Precision ±0.5°C control | OEM certified,RR19T241BS2 | RR20T172YS8,yes,https://images.unsplash.com/photo-1581092160562-40aa08e78837?q=80&w=800
SMSG-RF-003,Door Gasket Seal,Refrigerator,Deep Freezer,750,30,Samsung,Fixxer OEM Hub,"Magnetic door gasket seal — maintains cold air retention and prevents frost build-up.",3 months warranty,1-2 business days,Medical-grade PVC | Magnetic strip embedded | Anti-fungal coating,DP224 | DP237,no,https://images.unsplash.com/photo-1581092160562-40aa08e78837?q=80&w=800
LG-WM-001,Drum Belt 8kg,Washing Machine,Front Load,899,40,LG,Fixxer Parts Partner,"Heavy-duty poly-V drive belt for 8kg front-load washing machines. Ensures smooth and silent drum rotation.",6 months replacement,Same day dispatch,Heat-resistant polymer | Anti-slip groove pattern | 50000+ cycle life,FHM1208ZDL | FHM1207SDL | FHP1209Z5M,yes,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?q=80&w=800
LG-WM-002,Pulsator Cap,Washing Machine,Top Load,450,60,LG,Fixxer Parts Partner,"Central pulsator cap for effective water agitation in top-load washers.",3 months warranty,Same day dispatch,ABS reinforced body | Click-fit installation | Balanced spin design,T7288NDDLG | T7581NEDLK,no,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?q=80&w=800
LG-WM-003,Gear Box Assembly,Washing Machine,Semi-Automatic,2200,12,LG,Fixxer OEM Hub,"Complete gear box unit with clutch mechanism for semi-automatic washers. Handles heavy wash loads.",12 months OEM warranty,3-5 business days,Hardened steel gears | Pre-lubricated | Heavy-duty clutch spring,P7288RWDLG | P8035SPMZ,yes,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?q=80&w=800
IFB-WM-001,Motor Assembly,Washing Machine,Front Load,4500,8,IFB,Fixxer OEM Hub,"Direct-drive brushless motor assembly with PCB for IFB front-load machines.",12 months OEM warranty,3-5 business days,Brushless BLDC motor | Low vibration | PCB with hall sensor,Senator Aqua SX | Senorita Plus,yes,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?q=80&w=800
WHP-WM-001,Timer Control,Washing Machine,Semi-Automatic,650,35,Whirlpool,Fixxer Parts Partner,"Mechanical wash timer with multi-program dial for semi-automatic models.",6 months replacement,1-2 business days,6 wash programs | Metal spindle | Splash-proof casing,Ace 7.5 TurboDry | SuperWash A-65h,no,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?q=80&w=800
BSH-AC-001,Main Control PCB,Air Conditioner,Split AC,3250,10,Bosch,Fixxer OEM Hub,"Microprocessor-based main PCB for inverter split ACs. Handles compressor modulation and sensor input.",12 months OEM warranty,3-5 business days,SMD components | Conformal coated | Surge-protected,Climate 5000i | Climate 3000i,yes,https://images.unsplash.com/photo-1518770660439-4636190af475?q=80&w=800
VLT-AC-001,Capacitor 35MFD,Air Conditioner,Window AC,350,50,Voltas,Fixxer Parts Partner,"Run capacitor for outdoor unit fan motor. Oil-filled for extended life.",3 months warranty,Same day dispatch,450VAC rated | Oil-filled | Terminal-lug mount,183 DYa | 185 DYa,no,https://images.unsplash.com/photo-1518770660439-4636190af475?q=80&w=800
VLT-AC-002,Fan Motor Indoor,Air Conditioner,Split AC,1800,20,Voltas,Fixxer OEM Hub,"Indoor blower motor with axial bearing for split AC models.",6 months replacement,2-3 business days,Ball bearing | Low RPM quiet operation | Copper wound,Inverter 183V SZS | 185V ADS,yes,https://images.unsplash.com/photo-1518770660439-4636190af475?q=80&w=800
WHP-MW-001,Magnetron 2M246,Microwave,Solo,1799,20,Whirlpool,City Appliance Spares,"High-output 2M246 magnetron suitable for 20-30L solo microwave ovens. Generates 700-900W cooking power.",3 months warranty,2-3 business days,700-900W output | Thermal fuse integrated | Air-cooled fins,MW20BC | MW20GS,yes,https://images.unsplash.com/photo-1585659722983-3a675dabf23d?q=80&w=800
PAN-MW-001,Turntable Motor,Microwave,Convection,650,30,Panasonic,City Appliance Spares,"Synchronous turntable motor (21V AC) for even food rotation inside microwave cavity.",3 months warranty,Same day dispatch,3 RPM sync motor | Glass tray coupler included | Whisper-quiet,NN-CT645B | NN-CT555W,no,https://images.unsplash.com/photo-1585659722983-3a675dabf23d?q=80&w=800
PAN-MW-002,Door Switch Assembly,Microwave,Grill,420,45,Panasonic,Fixxer OEM Hub,"Safety interlock door switch set (primary + secondary + monitor) for microwave grill models.",3 months warranty,Same day dispatch,3-switch safety set | UL rated | Snap-action mechanism,NN-GD371M | NN-GD692S,no,https://images.unsplash.com/photo-1585659722983-3a675dabf23d?q=80&w=800
GDR-RF-001,Shelf Glass Tray,Refrigerator,Side-by-Side,950,18,Godrej,Fixxer OEM Hub,"Tempered glass shelf tray with Gorilla guard edge. Fits side-by-side Godrej refrigerators.",No warranty on glass,3-5 business days,4mm tempered glass | Spill-safe rim | Gorilla guard edge,RS EON Velvet 579 | RS EON 580,no,https://images.unsplash.com/photo-1581092160562-40aa08e78837?q=80&w=800
